,Songs,Listeners,Users_playcount,Particusercount,Duration
0,Tsuneni Ai,387,549,,725000
1,Tsuneni Ai,387,549,,725000
2,Up into the Rafters,486,750,,0
3,Euphoria,697,1029,,219000
4,Wall of Silver,556,889,,138000
5,Ai,512,774,,62000
6,Babushka-Yai Ya,541,828,,103000
7,Book of the Moon,620,978,,127000
8,Cape of Diamonds,628,1006,,234000
9,Turn the Skies of Blue On,809,1247,,129000
10,Cormorant Bird,2971,4680,,207000
11,THE MEETINGS OF THE WATERS,9824,18692,,0
12,Valerie - BBC Radio 1 Live Lounge,26262,63641,,0
13,Amy Forever,4069,10076,,169000
14,Body and Soul,81962,185116,,201000
15,Arrested,4135,6303,,65000
16,Love Is A Losing Game - Live At The Mercury Music Awards,7868,16494,,0
17,Amy Lives,4336,7279,,135000
18,We're Still Friends - Live At The Union Chapel,7867,15830,,0
19,In The Studio,4513,7030,,65000
20,"Rehab - Live On Jools Holland, London / 2006",4921,8106,,0
21,Cynthia,4936,8158,,75000
22,Back To Black - Acapella / Album Medley,6450,13874,,0
23,The Name Of The Wave,6137,10387,,384000
24,Seperacao Fotos,5673,9045,,54000
25,Tears Dry on Their Own,803824,5797767,,186000
26,Like Smoke - Demo,5765,10059,,0
27,Kidnapping Amy,5795,9279,,105000
28,Holiday Texts,6131,9858,,52000
29,Some Unholy War - Down Tempo,38345,90764,,196000
30,Walk,7953,15203,,74000
31,What Is It About Men - Live At North Sea Jazz Festival,9332,19623,,0
32,Poetic Finale,7490,14103,,173000
33,Stronger Than Me,175088,881010,,214000
34,Opening,8354,13845,,58000
35,Floating Cathedral,1862,3758,,285000
36,Bleu Nuit,2071,4025,,245000
37,"Sincerely, Future Pollution",2160,4231,,241000
38,Western Questions,2181,4703,,280000
39,Sewer Blues,7192,19684,,277000
40,Moment,2455,4947,,345000
41,Skin Tone,2949,5646,,191000
42,Grifting,4372,8935,,261000
43,VELVET GLOVES & SPIT,5677,12935,,0
44,Western Questions,2181,4703,,280000
45,Sewer Blues,7192,19684,,277000
46,Moment,2455,4947,,345000
47,Skin Tone,2949,5646,,191000
48,Grifting,4372,8935,,261000
49,VELVET GLOVES & SPIT,5677,12935,,0
50,Biking (feat. Jay-Z And Tyler The Creator),21,166,,0
51,it gets more blue,1668,2932,,0
52,Loving,838,1404,,228000
53,Truth,2535,4530,,810000
54,Broken Halos,1788,3199,,180000
55,Aboard My Train,1916,3203,,195000
56,On the Level,11045,29196,,228000
57,Floating Cathedral,1862,3758,,285000
58,Bleu Nuit,2071,4025,,245000
59,"Sincerely, Future Pollution",2160,4231,,241000
60,Western Questions,2181,4703,,280000
61,Sewer Blues,7192,19684,,277000
62,Moment,2455,4947,,345000
63,Skin Tone,2949,5646,,191000
64,Grifting,4372,8935,,261000
65,VELVET GLOVES & SPIT,5677,12935,,0
66,Floating Cathedral,1862,3758,,285000
