,Songs,Listeners,Playcount,Duration,Tags
0,Triangle,60652,255542,228000,"[u'jazz', u'instrumental', u'ambient', u'Hip-Hop', u'experimental', u'post-rock', u'post rock', u'triphop', u'Jazz Hop', u'2014', u'instrumental hiphop', u'suziko-rockwerchter']"
1,I've Seen Footage,135230,1003035,203000,"[u'Hip-Hop', u'experimental', u'Noided', u'experimental hip-hop', u'industrial hip-hop', u'rap', u'noise', u'industrial', u'alternative hip-hop', u'best of 2012', u'hip hop', u'alternative', u'2012', u'10s', u'death grips', u'trip-hop', u'punk', u'electro', u'psychedelic', u'tricky', u'american', u'club', u'party', u'psych', u'sacramento', u'favourite', u'chill out', u'electropunk', u'kick your ass', u'sick', u'personal favourites', u'mad', u'Electro-Hop', u'Gay Metal', u'ghettotech', u'alternative hip hop', u'banger', u'best songs of 2012', u'X-Factor', u'Get up', u'auto', u'major', u'a campfire and a tent and a flashlight and some matches and a tree and that river and my glasses and a spaceship and a really really big bear but the bear is really really far away', u'boppin', u'yelling hobo-core', u'25 of 2012', u'psycho shit', u'awseome', u'Mixu Paatelainen', u'kss1984 - great']"
2,Really Doe,34042,159363,319000,"[u'hip hop', u'rap', u'experimental', u'experimental hip hop', u'Gilles Peterson', u'detroit', u'hiphop', u'Conscious Hip Hop', u'dope like fuckin heroin']"
3,Reverie,11879,41676,192000,"[u'Avant-Garde', u'soty']"
4,Zodiac Shit,227784,1122821,164000,"[u'electronic', u'trip-hop', u'idm', u'ambient', u'experimental', u'lizvelrene2010', u'1Live Fiehe', u'glitch', u'hiphopgdchill', u'fly lo', u'psychedelic', u'vugube62', u'Hip-Hop', u'hip hop', u'chill', u'beautiful', u'orchestral', u'trip hop', u'instrumental hip hop', u'intelligent', u'hypnotic', u'symphonic', u'glitch hop', u'2010', u'hiptronics', u'Flying Lotus', u'starship music', u'cliq-hop', u'Astral Hip-Hop', u'chillout', u'electronica', u'instrumental', u'downtempo', u'experimental hip hop', u'acid jazz', u'abstract', u'strings', u'bass', u'Dreamy', u'3', u'cosmic', u'Mellow', u'beats', u'amazing', u'eerie', u'trippy', u'design', u'abstract hip-hop', u'wonky', u'Lotus']"
5,Free Press and Curl,56570,287538,255000,"[u'Hip-Hop', u'experimental', u'abstract hip-hop', u'experimental hip hop', u'2011', u'us', u'cake-music', u'Magic Rap', u'Shabazz Palaces', u'a melody is in the mind not the ears']"
6,Speaking Gently,29104,105246,247000,"[u'jazz', u'instrumental', u'Gilles Peterson', u'2016 single']"
7,No Love,74743,565047,304000,"[u'experimental hip-hop', u'rap', u'experimental', u'Hip-Hop', u'industrial hip-hop', u'noise', u'favorite songs', u'sexy', u'blues', u'underground hip-hop', u'sacramento', u'favourite', u'violent', u'sick', u'2012', u'10s', u'mad', u'title tracks', u'Rad', u'third worlds', u'Punk Rap', u'noise rap', u'Hardbass', u'best track on the album', u'Those Songs', u'hobo rap', u'audiosurfed', u'proper meaning of a beatdown madness chaos in the brain']"
8,Hell For It,23342,79859,0,[]
9,Forerunner Foray,38217,147514,228000,[u'fip']
10,Hyperactive!,57781,157108,253000,"[u'80s', u'new wave', u'electronic', u'synthpop', u'alternative', u'pop', u'synth pop', u""80's"", u'GTA Vice city', u'dance', u'male vocalists', u'GTA', u'Porieux-loved', u'Wave 103', u'rock', u'british', u'favorites', u'funky', u'Thomas Dolby', u'Grand Theft Auto', u'gta vc', u'I want back to the 80s', u'gtavc tracks', u'sick fuck', u'Soundtrack', u'test', u'electronica', u'indie', u'classic', u'70s', u'female vocalists', u'UK', u'Alternative  Punk', u'britpop', u'ska', u'bass', u'tv shows', u'england', u'oldies', u'synthesizer', u'nrg', u'brass', u'new romantic', u'latino', u'vocoder', u'1984', u'perfect pop songs', u'amsterdam', u'personal favourites', u'eclectonia']"
11,Airwaves,16285,47492,349000,"[u'80s', u'new wave', u'pop', u'synth pop', u'electronic', u'rock', u'alternative', u'Radio', u'Thomas Dolby', u'british', u'ambient', u'singer-songwriter', u'beautiful', u'Mellow', u'synthpop', u'loved', u'male vocalists', u""80's"", u'freedom', u'male vocals', u'eclectonia', u'alt', u'cream of the crop', u'been a fan', u'electro music', u'Emotional Adult Rock', u'hot fun in the summertime', u'dreamland', u'TNPHP Karaoke', u'ds80s', u'I see Stars', u'out of our heads', u'Sentimental Favorites From The 1980s', u'alternative in the 1980s', u'Noah Eatons All-Time Favorite Songs', u'5 times or less', u'M FAVS', u'good soneg', u'Rock-AIRWAVES-GOLDEN AGE OF WIRELESS-THOMAS DOLBY', u'dawns-latenight', u'dawns-wave']"
12,She Blinded Me With Science,149675,506911,311000,"[u'80s', u'new wave', u'synth pop', u'electronic', u'pop', u'Thomas Dolby', u'synthpop', u'science', u'dance', u'british', u'rock', u'alternative', u""80's"", u'electronica', u'synth', u'fun', u'NewZenithSpectrum', u'She Blinded Me With Science', u'alternative rock', u'silly', u'80s Pop', u'amayzes loved', u'catchy', u'upbeat', u'live', u'Guilty Pleasures', u'1982', u'1983', u'TINY BUBBLES', u'favorites', u'party', u'loved', u'nostalgia', u'1980s', u'nip tuck', u'davaho53', u'Beboppin', u'soul', u'quirky', u'eighties', u'amazing', u'male vocalists', u'Favorite', u'childhood', u'radio paradise', u'title is a full sentence', u'childhood memories', u'one hit wonder', u'early mtv years', u'so so']"
13,The Flat Earth (Live),428,789,358000,[u'songs that make me cream my panties']
14,I Scare Myself - 2009 Remastered Version,1806,4513,337000,[]
15,Hyperactive!,57781,157108,253000,"[u'80s', u'new wave', u'electronic', u'synthpop', u'alternative', u'pop', u'synth pop', u""80's"", u'GTA Vice city', u'dance', u'male vocalists', u'GTA', u'Porieux-loved', u'Wave 103', u'rock', u'british', u'favorites', u'funky', u'Thomas Dolby', u'Grand Theft Auto', u'gta vc', u'I want back to the 80s', u'gtavc tracks', u'sick fuck', u'Soundtrack', u'test', u'electronica', u'indie', u'classic', u'70s', u'female vocalists', u'UK', u'Alternative  Punk', u'britpop', u'ska', u'bass', u'tv shows', u'england', u'oldies', u'synthesizer', u'nrg', u'brass', u'new romantic', u'latino', u'vocoder', u'1984', u'perfect pop songs', u'amsterdam', u'personal favourites', u'eclectonia']"
16,She Blinded Me With Science - Extended Version,1782,3727,0,[]
17,"I Scare Myself - Live On Tour, 1984",245,376,0,[]
18,In Honour of Reason,24930,160702,267000,"[u'Brutal Death Metal', u'death metal', u'Technical Death Metal', u'Technical Brutal Death Metal', u'metal', u'Classical', u'brutal', u'holy shit', u'symphonic metal', u'Brutal Technical Death Metal', u'Blackened Death Metal', u'old school death metal', u'true metal', u'symphonic death metal', u'Technical Brutal Death', u'true death metal', u'mad solo', u'Fleshgod Apocalypse', u'a bit melodic']"
19,In Aeternum,9284,44091,325000,"[u'metal', u'death metal', u'Symphonic Orchestral Death Metal']"
20,Marche Royale,8450,33275,117000,[]
