,Users,Songs,Artists,Playtime,Album
0,Babs_05,Who's Sorry Now,Angel Olsen,"21 Apr 2017, 21:46",Resistance Radio: The Man in the High Castle Album
1,Babs_05,A Taste of Honey,The Shins,"21 Apr 2017, 21:43",Resistance Radio: The Man in the High Castle Album
2,Babs_05,The House of the Rising Sun,Sam Cohen,"21 Apr 2017, 21:40",Resistance Radio: The Man in the High Castle Album
3,Babs_05,Spoonful,Benjamin Booker,"21 Apr 2017, 21:38",Resistance Radio: The Man in the High Castle Album
4,Babs_05,Can't Help Falling in Love,Beck,"21 Apr 2017, 21:34",Resistance Radio: The Man in the High Castle Album
5,Babs_05,Nature Boy,Andrew VanWyngarden,"21 Apr 2017, 21:32",Resistance Radio: The Man in the High Castle Album
6,Babs_05,The End of the World,Sharon Van Etten,"21 Apr 2017, 21:29",Resistance Radio: The Man in the High Castle Album
7,Babs_05,A Taste of Honey,The Shins,"21 Apr 2017, 21:25",Resistance Radio: The Man in the High Castle Album
8,Babs_05,The End of the World,Sharon Van Etten,"21 Apr 2017, 21:21",The End of the World
9,Babs_05,I Came So Far For Beauty,Stina Nordenstam,"21 Apr 2017, 00:47",People Are Strange
10,Babs_05,Reason to Believe,Stina Nordenstam,"21 Apr 2017, 00:43",People Are Strange
11,Babs_05,Purple Rain,Stina Nordenstam,"21 Apr 2017, 00:37",People Are Strange
12,Babs_05,Shatter,Gaps,"21 Apr 2017, 00:32",Shatter
13,Babs_05,Shatter,Gaps,"21 Apr 2017, 00:27",Shatter
14,Babs_05,Cai Yuanpei Hall 27,Soundwalk Collective,"21 Apr 2017, 00:19",Before Music There Is Blood
15,Babs_05,Skin Tone,Timber Timbre,"21 Apr 2017, 00:15","Sincerely, Future Pollution"
16,Babs_05,Place To Call My Own - AK Version,Alicia Keys,"21 Apr 2017, 00:12",Vault Playlist Vol. 1
17,Babs_05,Battle Cry,Jack White,"21 Apr 2017, 00:10",Battle Cry
18,Babs_05,GET it TOgeTHEr,Drake,"21 Apr 2017, 00:04",More Life
19,Babs_05,Aladdin,Future Islands,"21 Apr 2017, 00:00",The Far Field
20,Babs_05,The Garden Is Overgrown,Champs,"20 Apr 2017, 23:57",The Garden Is Overgrown
21,Babs_05,Priestess - Mr Dan Edit,Pumarosa,"20 Apr 2017, 23:52",Priestess (Mr Dan Edit)
22,Babs_05,Magpie Eyes,Saint Etienne,"20 Apr 2017, 23:48",Magpie Eyes
23,Babs_05,Bleeding Blue,Woods,"20 Apr 2017, 23:42",Bleeding Blue
24,Babs_05,Welcome To An Altered Universe,King Gizzard & The Lizard Wizard,"20 Apr 2017, 23:41",Welcome To An Altered Universe
25,Babs_05,Kathy’s Song - Recorded at Spotify Studios NYC,Laura Marling,"20 Apr 2017, 23:39",Spotify Singles
26,Babs_05,The Fire,Bishop Briggs,"20 Apr 2017, 23:36",Bishop Briggs
27,Babs_05,See It So Clear - Acoustic,Tom Chaplin,"20 Apr 2017, 23:31",See It So Clear (Acoustic)
28,Babs_05,The Warm Shoulder,Mary Lattimore,"20 Apr 2017, 23:25",Collected Pieces
29,Babs_05,Waiting (10 Years),Low Roar,"20 Apr 2017, 23:21","Once in a Long, Long While..."
30,Babs_05,Before We’re Strangers - Demo Version,Rose Elinor Dougall,"20 Apr 2017, 23:18",Space To Be
31,Babs_05,Questions,Amanda Bergman,"20 Apr 2017, 21:52",Docks
32,Babs_05,Pink Marker,ian sweet,"20 Apr 2017, 21:51",Shapeshifter
33,Babs_05,Retour au Champs de Mars,A Winged Victory for the Sullen,"20 Apr 2017, 21:46",Iris (Original Motion Picture Soundtrack) [Bonus Track Version]
34,Babs_05,Tunnel Vision On Your Part,Happyness,"20 Apr 2017, 21:39",Tunnel Vision On Your Part
35,Babs_05,超人大会,Shintaro Sakamoto,"20 Apr 2017, 21:36",できれば愛を
36,Babs_05,Aggrophobe,Pins,"20 Apr 2017, 21:32",Aggrophobe
37,Babs_05,Anarchy and Alchemy,Echobelly,"20 Apr 2017, 21:28",Anarchy and Alchemy
38,Babs_05,St. Sebastian,Sam Patch,"20 Apr 2017, 21:23",St. Sebastian
39,Babs_05,Llamame,Maria Usbeck,"20 Apr 2017, 21:19",Amparo
40,Babs_05,SAGITTARIUS BY MOONLIGHT,The Olympians,"20 Apr 2017, 21:15",The Olympians
41,Babs_05,It's Not so Hard - NRBQ Cover,Chris Cohen,"20 Apr 2017, 21:12",One Demonstration and One Cover
42,Babs_05,Betcha,Zoee,"20 Apr 2017, 21:09",Betcha
43,Babs_05,Plain Sight,Year of Suns,"20 Apr 2017, 21:06",Songs for Silence
44,Babs_05,FUU,Dream Wife,"20 Apr 2017, 21:01",FUU
45,Babs_05,I Figured You Out,Elliott Smith,"20 Apr 2017, 20:57",Either/Or (Expanded Edition)
46,Babs_05,Girls On T.V.,Tashaki Miyaki,"20 Apr 2017, 20:53",Girls On T.V.
47,Babs_05,The Valley,Ethan Gruska,"20 Apr 2017, 20:50",Slowmotionary
48,Babs_05,Wings,Doon Kanda,"20 Apr 2017, 20:48",Heart EP
49,Babs_05,Sparks,Tom Adams,"20 Apr 2017, 20:41",Sparks
50,Babs_05,Chi Mai,Dans Dans,"20 Apr 2017, 20:36",Sand
51,Babs_05,Does the Island Know,Novella,"20 Apr 2017, 20:32",Does the Island Know
52,Babs_05,ghosts and all,Sarah Davachi,"20 Apr 2017, 20:23",Vergers
53,Babs_05,Wallins Creek Girls,Bonnie 'Prince' Billy,"20 Apr 2017, 20:21",
54,Babs_05,The Vanishing American Family,Scuba Z,"20 Apr 2017, 20:17",The Vanishing American Family
55,Babs_05,Sorcerer,Tonstartssbandht,"20 Apr 2017, 20:07",Sorcerer
56,Babs_05,Hey Ya,Nosizwe,"20 Apr 2017, 20:03",In Fragments
57,Babs_05,Like St. Joan (Kanga Roo) - Demo,Big Star,"20 Apr 2017, 19:59",Complete Third
58,Babs_05,Company,Softer Still,"20 Apr 2017, 19:56",Softer Still
59,Babs_05,Tall Glass of Water,Tim Darcy,"20 Apr 2017, 19:52",Tall Glass of Water
60,Babs_05,Here In Spirit,Jim James,"20 Apr 2017, 19:48",Eternally Even
61,Babs_05,The Nightclub Artiste,Moonface,"20 Apr 2017, 19:42",My Best Human Face
62,Babs_05,Star Roving,Slowdive,"20 Apr 2017, 19:36",Star Roving
63,Babs_05,Andetag,slowgold,"20 Apr 2017, 19:33",Drömmar
64,Babs_05,THE HUNT,Civil Civic,"20 Apr 2017, 19:27",The Hunt
65,Babs_05,Tearjerker,Gonzales,"20 Apr 2017, 19:24",Room 29
66,Babs_05,Loose Control,Serengeti,"20 Apr 2017, 19:20",Doctor My Own Patience
67,Babs_05,Hot Is The Fire,Alex Izenberg,"20 Apr 2017, 19:15",Harlequin
68,Babs_05,Wawa by the Ocean,Mary Lattimore,"20 Apr 2017, 19:05",Wawa by the Ocean
69,Babs_05,Distant Shore,Karen Elson,"20 Apr 2017, 19:00",Distant Shore
70,Babs_05,People Are Strange,Stina Nordenstam,"20 Apr 2017, 18:43",People Are Strange
71,Babs_05,Come to Me,Stina Nordenstam,"20 Apr 2017, 18:39",People Are Strange
72,Babs_05,I Came So Far For Beauty,Stina Nordenstam,"20 Apr 2017, 18:35",People Are Strange
73,Babs_05,Reason to Believe,Stina Nordenstam,"20 Apr 2017, 18:31",People Are Strange
74,Babs_05,Like a Swallow,Stina Nordenstam,"20 Apr 2017, 18:28",People Are Strange
75,Babs_05,Swallow Strings,Stina Nordenstam,"20 Apr 2017, 18:27",People Are Strange
76,Babs_05,Purple Rain,Stina Nordenstam,"20 Apr 2017, 18:23",People Are Strange
77,Babs_05,Bird on a Wire,Stina Nordenstam,"20 Apr 2017, 18:19",People Are Strange
78,Babs_05,Lonesome Road,Stina Nordenstam,"20 Apr 2017, 18:17",People Are Strange
79,Babs_05,Love Hurts,Stina Nordenstam,"20 Apr 2017, 18:17",People Are Strange
80,Babs_05,I Dream Of Jeannie - With The Light Brown Hair,Stina Nordenstam,"20 Apr 2017, 18:12",People Are Strange
81,Babs_05,Sailing,Stina Nordenstam,"20 Apr 2017, 18:09",People Are Strange
82,Babs_05,Deliverance,Prince,"20 Apr 2017, 02:07",
83,Babs_05,Deliverance,Prince,"20 Apr 2017, 02:02",
84,Babs_05,People Are Strange,Stina Nordenstam,"20 Apr 2017, 01:56",People Are Strange
